up:P62489	rno:117017
up:O74893	spo:SPCC576.09
up:P35686	osa:4340027
up:Q54Y41	ddi:DDB_G0278429
up:P38701	sce:YHL015W
up:Q86X60	hsa:653820
up:Q5TYM5	hsa:729533
up:A6QL50	bta:616965
up:Q6L9T8	hsa:728833
up:A1KXW8	rno:681249
up:H0Y354	hsa:554282
up:P79781	gga:395796
up:P62979	hsa:6233
up:P68200	ipu:100305059
up:P62983	mmu:78294
up:P15357	dme:Dmel_CG5271
up:P59232	ath:AT2G47110
up:P59233	ath:AT3G62250
up:P62980	sly:101256912
up:P59271	ath:AT1G23410
up:Q9ARZ9	osa:4326977
up:P27923	zma:100192952
up:P51431	osa:4337883
up:P68202	pxy:105381543
up:P14797	ddi:DDB_G0276765
up:P14799	ncr:NCU04553
up:P05759	sce:YLR167W
up:P0C8R3	spo:SPAC589.10c
up:P0C016	spo:SPAC6G10.11c
up:P69061	kla:KLLA0_D18304g
up:Q8SWD4	ecu:ECU02_0740i
up:P63048	bta:615199
up:P18101	dme:Dmel_CG2960
up:P69201	lma:LMJF_31_1900
up:P69201	lma:LMJF_31_2030
up:P49632	cel:CELE_ZK1010.1
up:P0CH11	cre:CHLREDRAFT_195594
up:P40909	cne:CNA03330
up:P0CH35	osa:4332169
up:P0CH35	osa:4347896
up:P0CH08	sce:YIL148W
up:P0CH08	sce:YKR094C
up:Q42202	ath:AT2G36170
up:Q42202	ath:AT3G52590
up:P14794	ddi:DDB_G0280755
up:P0CH06	spo:SPAC11G7.04
up:P0CH06	spo:SPAC1805.12c
up:P0C224	ncr:NCU05275
up:Q05120	vg:912026
up:P16709	vg:1403867
up:P37164	cbr:CBG22466
up:P37165	cel:CELE_H06I04.4
up:Q93725	cel:CELE_F45H11.2
up:Q9VJ33	dme:Dmel_CG10679
up:Q15843	hsa:4738
up:Q54XV3	ddi:DDB_G0278711
up:O14399	spo:SPBC12D12.08c
up:O65381	ath:AT1G11980
up:Q03919	sce:YDR139C
up:P17980	hsa:5702
up:O88685	mmu:19182
up:Q63569	rno:29677
up:P46465	osa:4331050
up:O23894	brp:103848939
up:Q9SEI2	ath:AT3G05530
up:O04019	ath:AT1G09100
up:O42587	xla:379941
up:Q54PN7	ddi:DDB_G0284415
up:P33297	sce:YOR117W
up:Q8SR13	ecu:ECU10_1420
up:Q9DBB5	mmu:66892
up:Q5ZJS0	gga:415328
up:Q8BTH8	mmu:214897
up:A7E3X2	bta:527889
up:Q5R4V3	pon:100173905
up:Q62763	rno:64823
up:Q6NRT0	xla:431882
up:Q9Y6M4	hsa:1456
up:Q62761	rno:64086
up:Q8C4X2	mmu:70425
up:Q5PRD4	dre:494092
up:Q9HCP0	hsa:53944
up:P78368	hsa:1455
up:Q8BVP5	mmu:103236
up:Q62762	rno:65278
up:Q8WQ99	cel:CELE_Y106G6E.6
up:P35509	bta:407190
up:P25867	dme:Dmel_CG7425
up:P35129	cel:CELE_M7.1
up:P61079	mmu:66105
up:P62839	rno:641452
up:Q06AA9	ssc:780418
up:P51668	hsa:7321
up:Q3ZCF7	bta:326583
up:Q9Y2X8	hsa:51619
up:A5PKP9	xla:100101299
up:A5PKP9	xla:108712728
up:P70711	rno:79435
up:P46595	spo:SPBC119.02
up:Q9UVR2	mgr:MGG_06562
up:P15732	sce:YDR059C
up:P15731	sce:YBR082C
up:Q9FKT3	ath:AT5G56150
up:Q8S920	osa:4327162
up:P35134	ath:AT3G08690
up:Q94F47	ath:AT1G64230
up:P35132	ath:AT4G27960
up:P35133	ath:AT5G53300
up:P35131	ath:AT5G41700
up:P35135	sly:100301932
up:P35135	sly:101249087
up:Q8S919	osa:4328940
up:Q9SLE4	ath:AT2G16740
up:Q9C9Y7	ath:AT3G08700
up:Q94490	ddi:DDB_G0284865
up:O13685	spo:SPAC11E3.04c
up:Q07205	rno:108348073
up:Q07205	rno:56783
up:Q9Z2U1	mmu:26442
up:Q95083	dme:Dmel_CG10938
up:Q9LSU1	osa:4350922
up:Q55G04	ddi:DDB_G0268538
up:Q9M4T8	gmx:547598
up:Q42134	ath:AT3G14290
up:O81149	ath:AT1G53850
up:Q95008	cel:CELE_F25H2.9
up:Q9UT97	spo:SPAC323.02c
up:P32379	sce:YGR253C
up:P68371	hsa:10383
up:P30883	xla:380258
up:Q6P9T8	rno:296554
up:P32882	gga:420883
up:Q9BVA1	hsa:347733
up:P09244	gga:396254
up:Q91575	xla:108700239
up:Q91575	xla:380418
up:Q4R4X8	mcf:101865362
up:P13602	xla:379220
up:Q24560	dme:Dmel_CG9277
up:Q13885	hsa:7280
up:P41937	cel:CELE_B0272.1
up:P61857	dme:Dmel_CG9359
up:Q17299	cbr:CBG16786
up:P12456	cel:CELE_ZK154.3
up:Q13509	hsa:10381
up:Q9ERD7	mmu:22152
up:P52275	cel:CELE_C36E8.5
up:P09652	gga:431043
up:Q2HJ81	bta:534206
up:P09653	gga:421037
up:P08841	dme:Dmel_CG3401
up:Q922F4	mmu:67951
up:P33188	ptm:GSPATT00021361001
up:P33188	ptm:GSPATT00036831001
up:Q9BUF5	hsa:84617
up:P04690	cre:CHLREDRAFT_129868
up:P04690	cre:CHLREDRAFT_129876
up:P11482	vcn:VOLCADRAFT_75910
up:P11482	vcn:VOLCADRAFT_77081
up:Q3ZCM7	hsa:347688
up:P37832	osa:4334309
up:P46265	osa:4328420
up:Q40665	osa:4341810
up:Q41784	zma:542705
up:P79008	cci:CC1G_04743
up:Q76FS3	osa:4338790
up:Q43594	osa:4326917
up:Q43697	zma:542418
up:Q56YW9	ath:AT5G62690
up:Q56YW9	ath:AT5G62700
up:P29514	ath:AT5G12250
up:P18026	zma:542380
up:Q8H7U1	osa:4331315
up:P29516	ath:AT5G23860
up:P29515	ath:AT2G29550
up:P12411	ath:AT1G75780
up:P09207	gga:396427
up:P29517	ath:AT4G20890
up:P29513	ath:AT1G20010
up:Q39445	cam:101506098
up:P24636	ath:AT5G44340
up:Q76FS2	osa:4333632
up:Q43695	zma:542416
up:P41799	pno:SNOG_06791
up:P05220	ncr:NCU04054
up:Q41782	zma:542417
up:Q4HZS8	fgr:FGSG_09530
up:Q6VAF5	ghi:107963775
up:P41385	bmor:693049
up:Q4P235	uma:UMAG_05828
up:Q8SS99	ecu:ECU03_0820i
up:Q2U2U3	aor:AO090038000317
up:P10653	ani:AN1182.2
up:A2AQ07	mmu:545486
up:Q9H4B7	hsa:81027
up:Q4WA70	afm:AFUA_7G00250
up:P05219	spo:SPBC26H8.07c
up:P10874	ani:AN6838.2
up:P32256	ddi:DDB_G0269196
up:P02557	sce:YFL037W
up:Q42480	ccp:CHC_T00004301001
up:Q9VRX3	dme:Dmel_CG32396
up:Q9Y333	hsa:57819
up:Q5ZL74	gga:422297
up:P51809	hsa:6845
up:Q17QI5	bta:613984
up:Q5RF94	pon:100171531
up:Q9JHW5	rno:85491
up:P70280	mmu:20955
up:Q9PVY6	xla:394357
up:Q9PVQ1	xla:399109
up:Q3ZBG0	bta:505050
up:Q9Z2U0	mmu:26444
up:O14818	hsa:5688
up:Q5RDH8	pon:100171943
up:Q4R7D9	mcf:101866612
up:Q9CWH6	mmu:73677
up:O13268	gga:395318
up:Q8TAA3	hsa:143471
up:P22769	dme:Dmel_CG3422
up:P34120	ddi:DDB_G0272831
up:Q9SXU1	cam:101498666
up:Q0J006	osa:4347710
up:O24616	ath:AT5G66140
up:Q6YT00	osa:4346245
up:P30186	ath:AT3G51260
up:Q95005	cel:CELE_C36B1.4
up:Q24178	dme:Dmel_CG17268
up:Q10329	spo:SPBC106.16
up:P40303	sce:YOL038W
up:Q9W6H5	dre:30622
up:Q9DDJ0	dre:114445
up:P63281	rno:25573
up:Q95017	cel:CELE_F29B9.6
up:P40984	spo:SPAC30D11.13
up:Q42551	ath:AT3G57870
up:Q9NGP4	ddi:DDB_G0287693
up:P50623	sce:YDL064W
up:Q7SXW4	dre:406826
up:Q3ZCB8	bta:508371
up:Q9P0I2	hsa:55831
up:Q99KI3	mmu:66087
up:Q90YP3	ipu:100304578
up:Q6QAT1	ssc:414420
up:Q6PS50	bmor:733144
up:Q9W334	dme:Dmel_CG2998
up:Q95Y04	cel:CELE_Y41D4B.5
up:P33285	kla:KLLA0_F20383g
up:Q7S6W5	ncr:NCU05599
up:Q74ZD8	ago:AGOS_AGR261W
up:A7SMR1	nve:NEMVE_v1g235689
up:Q56K03	bta:404190
up:P18445	rno:293418
up:P14115	mmu:26451
up:P46776	hsa:6157
up:P47830	xla:397938
up:Q5R1X0	ptr:466438
up:P48160	ddi:DDB_G0292388
up:P41092	dme:Dmel_CG15442
up:P57728	spo:SPBC776.11
up:P36585	spo:SPCC5E4.07
up:P49637	ath:AT1G70600
up:Q9LR33	ath:AT1G23290
up:P02406	sce:YGL103W
up:P08978	ncr:NCU03806
up:Q9LPV3	ath:AT1G12960
up:Q00471	cre:ChreCp008
up:Q6YXN2	ppp:2546708
up:P00165	soe:2715598
up:P05642	zma:845192
up:P56773	ath:ArthCp053
up:Q09ME7	cit:4271129
up:P12123	osa:3131403
up:P06247	nta:800462
up:Q85G16	cme:CymeCp081
up:Q33C02	nto:3776357
up:Q1KXS9	han:4055689
up:Q2PMQ5	gmx:3989327
up:Q332U7	lsv:3772863
up:Q0ZIY9	vvi:4025129
up:B0C0E8	amr:AM1_4666
up:Q4VZI6	csv:3429266
up:Q70XX8	atr:2546614
up:Q7NJB3	gvi:gvip265
up:Q0P3P0	ota:OstapCp12
up:Q54711	syf:Synpcc7942_2331
up:Q7V5B9	pmt:PMT_1649
up:B7KHH8	cyc:PCC7424_2251
up:B7K1G1	cyp:PCC8801_3538
up:P0A384	ana:alr3421
up:B2J5S9	npu:Npun_F0310
up:B1WWK9	cyt:cce_1383
up:A5GJ44	syx:SynWH7803_0533
up:Q46H42	pmn:PMN2A_1702
up:Q7U4U6	syw:SYNW1967
up:A9BDY2	pmj:P9211_03611
up:Q2JTP0	cya:CYA_1796
up:B8HWC6	cyn:Cyan7425_2347
up:Q0ICP8	syg:sync_0549
up:Q7VDK9	pma:Pro_0367
up:Q3AUX3	sye:Syncc9902_1849
up:A3PB49	pmg:P9301_03511
up:Q3AMC3	syd:Syncc9605_0485
up:A8G2Y6	pmh:P9215_03501
up:P28056	syp:SYNPCC7002_A0842
up:A5GR39	syr:SynRCC307_0445
up:Q31CK3	pmi:PMT9312_0331
up:Q7V2X6	pmm:PMM0325
up:A2BUV5	pmc:P9515_03571
up:Q116S5	ter:Tery_1137
up:B0JM94	mar:MAE_33570
up:Q57038	syn:slr0342
up:P55935	dme:Dmel_CG3395
up:P46781	hsa:6203
up:Q20228	cel:CELE_F40F8.10
up:O59675	spo:SPBC29A3.12
up:Q09757	spo:SPAC24H6.07
up:Q9LXG1	ath:AT5G15200
up:P05755	sce:YBR189W
up:O13516	sce:YPL081W
up:Q9FLF0	ath:AT5G39850
up:P14132	ddi:DDB_G0289877
up:Q9UM00	hsa:54499
up:Q15369	hsa:6921
up:Q6DRH5	dre:445391
up:Q9CQS2	mmu:66181
up:Q9V5P6	dme:Dmel_CG7637
up:Q9P7M5	spo:SPAP27G11.13c
up:Q6FNL3	cgr:CAGL0J10802g
up:Q6BQP3	dha:DEHA2E03520g
up:Q54J26	ddi:DDB_G0288347
up:Q6CSZ0	kla:KLLA0_C16753g
up:Q6Q547	sce:YHR072W-A
up:Q74Z52	ago:AGOS_AGR354W
up:Q9XVR8	cel:CELE_C25A1.6
up:Q93XX8	ath:AT2G20490
up:P79800	mgp:100151750
up:Q9YH38	ccar:109059246
up:Q5F352	gga:419885
up:Q91806	xla:399446
up:Q05147	xla:373672
up:Q07983	mdo:554186
up:P32883	mmu:16653
up:Q95ME4	mdo:554197
up:P01111	hsa:4893
up:Q04970	rno:24605
up:P08642	gga:396229
up:P01116	hsa:3845
up:Q5RD87	pon:100174317
up:P01112	hsa:3265
up:B4JFU8	dgr:Dgri_GH19394
up:B4NJ72	dwi:6650000
up:P08646	dme:Dmel_CG9375
up:B4LY29	dvi:Dvir_GJ23844
up:Q295X7	dpo:Dpse_GA21740
up:B4KB60	dmo:Dmoj_GI22599
up:P22981	cel:CELE_ZK792.6
up:P15064	ddi:DDB_G0293434
up:P51539	hmg:100209445
up:P03967	ddi:DDB_G0292996
up:P32252	ddi:DDB_G0292998
up:P22126	ncr:NCU08823
up:Q12526	ani:AN0182.2
up:P08647	spo:SPAC17H9.09c
up:P32253	ddi:DDB_G0281385
up:P32254	ddi:DDB_G0283537
up:P08645	dme:Dmel_CG1956
up:P04388	dme:Dmel_CG1167
up:Q6TEN1	dre:321107
up:Q7ZXH7	xla:108713157
up:Q7ZXH7	xla:379883
up:P62836	rno:295347
up:Q3T022	bta:615692
up:O55128	mmu:20220
up:O00422	hsa:10284
up:Q9VEX9	dme:Dmel_CG6046
up:Q8WZA0	hsa:84328
up:Q5ZKW2	gga:419445
up:Q6DHH7	dre:436871
up:Q5PQN7	rno:366507
up:Q8K3C3	mmu:69151
up:Q28D79	xtr:550045
up:Q60HD8	mcf:102125491
up:P00558	hsa:5230
up:P09411	mmu:18655
up:P50310	cge:100689467
up:Q3T0P6	bta:507476
up:Q7SIB7	ssc:407608
up:P16617	rno:24644
up:Q8MIF7	ecb:100036552
up:Q4R3K4	mcf:101866226
up:P51903	gga:395833
up:P09041	mmu:18663
up:P07205	hsa:5232
up:P91427	cel:CELE_T03F1.3
up:Q6RI85	ssc:396673
up:Q01604	dme:Dmel_CG3127
up:P35285	mmu:19334
up:Q921E2	mmu:106572
up:Q6GQP4	rno:246324
up:Q13636	hsa:11031
up:Q640W6	xla:447780
up:Q6PGH0	mmu:327900
up:Q8WUN7	hsa:92181
up:Q5EAE3	bta:541134
up:Q6DG43	dre:436991
up:Q4V8W7	dre:571832
up:Q68FV8	rno:309373
up:Q9HAC8	hsa:80019
up:Q91WB7	mmu:226122
up:Q3ZBQ1	bta:506002
up:P0C031	osa:4341684
up:P0C030	osa:4347085
up:P0CH33	ath:AT4G05050
up:P0CG67	ggo:101144449
up:P69325	gmx:100799042
up:P0CG70	ncr:NCU05995
up:P0CG55	oas:443016
up:P0CG77	ddi:DDB_G0286907
up:Q8MKD1	ecb:100033924
up:P0CG53	bta:281370
up:Q3E7K8	ath:AT1G55060
up:Q9SHE7	ath:AT1G31340
up:Q8RUC6	ath:AT2G35635
up:P16930	hsa:2184
up:A5PKH3	bta:508724
up:P25093	rno:29383
up:P35505	mmu:14085
up:Q1ZXQ1	ddi:DDB_G0271094
up:Q2KHS5	xla:735031
up:Q70VZ7	bta:407225
up:Q5M8H5	xtr:496754
up:Q5M7F4	xla:496214
up:Q54GC1	ddi:DDB_G0290279
up:Q5PQ71	xla:495962
up:Q6DF67	xtr:448545
up:Q9Y3D0	hsa:51647
up:Q9D187	mmu:68523
up:Q9VTC4	dme:Dmel_CG7949
up:O62252	cel:CELE_F45G2.10
up:Q28FC1	xtr:548886
up:Q96B02	hsa:55284
up:Q1JPX4	dre:692325
up:Q8VDW4	mmu:66799
up:Q4VBH4	dre:553013
up:Q55EY8	ddi:DDB_G0268938
up:Q9FWT2	ath:AT1G75440
up:Q9FMM0	ath:AT5G42990
up:P42743	ath:AT1G45050
up:O88767	rno:117287
up:Q5XJ36	dre:449674
up:Q99497	hsa:11315
up:Q5E946	bta:511268
up:Q8UW59	gga:395277
up:Q99LX0	mmu:57320
up:Q6PBF0	xtr:394521
up:P41116	xla:380157
up:Q9V3G1	dme:Dmel_CG1263
up:Q9U9L2	aga:AgaP_AGAP005802
up:P62919	rno:100360117
up:P62919	rno:108348142
up:P62919	rno:26962
up:Q6P0V6	dre:393686
up:Q9XVF7	cel:CELE_B0250.1
up:Q5R7Y8	pon:100174586
up:Q90YW1	ipu:100304524
up:Q42064	ath:AT4G36130
up:P46286	ath:AT2G18020
up:P25998	nta:107816448
up:Q75AP7	ago:AGOS_ADL127C
up:Q6FPN7	cgr:CAGL0J02354g
up:P13023	ddi:DDB_G0274113
up:P0CX45	sce:YFR031C-A
up:P0CX45	sce:YIL018W
up:Q4PSL7	ath:AT3G51190
up:P0DJ52	tet:TTHERM_00716240
up:A4FVX9	mmq:MmarC5_0030
up:Q6LX08	mmp:MMP1546
up:A3DNA7	smr:Smar_1019
up:A6UV65	mae:Maeo_0804
up:Q9YFN1	ape:APE_0218
up:P06541	cre:ChreCp058
up:Q85FT2	cme:CymeCp169
up:Q0P3P2	ota:OstapCp10
up:B7K2R8	cyp:PCC8801_3657
up:Q8RC15	tte:TTE0637
up:P50002	awo:Awo_c02230
up:Q2RFX9	mta:Moth_2378
up:Q332X1	lsv:3772895
up:Q09MH1	cit:4271212
up:Q10Z38	ter:Tery_3385
up:B7KGV4	cyc:PCC7424_5090
up:P26527	syn:slr1329
up:P52435	hsa:5439
up:Q9VJE4	dme:Dmel_CG6840
up:Q7PVQ9	aga:AgaP_AGAP009209
up:Q9GZM3	hsa:246721
up:Q9GZM3	hsa:548644
up:Q60SM4	cbr:CBG20834
up:Q9XVH6	cel:CELE_W01G7.3
up:O73930	gga:395729
up:P61458	mmu:13180
up:Q3ZBD3	bta:530736
up:P61459	rno:29700
up:Q9DG45	gga:374030
up:A7HSX5	pla:Plav_1388
up:Q28VA7	jan:Jann_0438
up:B2T7M8	bpy:Bphyt_3922
up:Q13SM2	bxe:Bxe_A0010
up:Q13SM2	bxb:DR64_2190
up:Q2J3Z9	rpb:RPB_0099
up:Q63PF1	bps:BPSL3425
up:Q54RY8	ddi:DDB_G0282831
up:Q46VT8	reu:Reut_A3388
up:A9AJD5	bmu:Bmul_0077
up:A9AJD5	bmj:BMULJ_03188
up:Q13D98	rpd:RPD_0703
up:A5E8P9	bbt:BBta_0248
up:A4JA07	bvi:Bcep1808_0087
up:Q89WZ6	bja:bll0532
up:B4E566	bcj:BCAL0009
up:A0K2V4	bch:Bcen2424_0077
up:A8LKP0	dsh:Dshi_0134
up:Q1QHE0	nha:Nham_3629
up:B1K1I7	bcm:Bcenmc03_0095
up:Q39L06	bur:Bcep18194_A3258
up:Q214W1	rpc:RPC_2524
up:A6WV21	oan:Oant_0094
up:Q8XU38	rso:RSc3356
up:B2UGY6	rpi:Rpic_3550
up:P61734	rpa:RPA0404
up:P65723	bms:BR0082
up:P65723	bsi:BS1330_I0082
up:B3Q9E4	rpt:Rpal_0408
up:Q16BN1	rde:RD1_0944
up:Q11D07	mes:Meso_3347
up:A5FWK8	acr:Acry_0770
up:Q2G9B0	nar:Saro_1118
up:Q54B65	ddi:DDB_G0293876
up:Q9P7L8	spo:SPBC21C3.05
up:P61162	cfa:403791
up:Q8R5C5	mmu:226977
up:P42025	hsa:10120
up:A4IFE3	bta:100125305
up:P45889	dme:Dmel_CG6174
up:Q9JKC8	mmu:55946
up:Q9Y2T2	hsa:26985
up:Q24K11	bta:514761
up:Q5ZMP7	gga:423736
up:P53677	hsa:10947
up:P53678	rno:140667
up:Q8R2R9	mmu:64933
up:Q9GPF1	ddi:DDB_G0277901
up:Q5RCT0	pon:100172105
up:P14854	hsa:1340
up:Q15691	hsa:22919
up:Q5R7Z5	pon:100173206
